Id	Desc	Image	Quality	LeftDesc	LeftRewardTypes	LeftRewardTypeIds	LeftRewardMinNums	LeftRewardMaxNums	RightDesc	RightRewardTypes	RightRewardTypeIds	RightRewardMinNums	RightRewardMaxNums	ChooseLine	LineNum	NeedBuffs	Bg	IsOutNormalPool
250	placeholder_屠宰场的铁钩上挂着一具没有皮的生物，心跳声如雷鸣般震耳。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_查封屠宰场	[2]	{1: 1}	[0]		placeholder_瞄准心脏射击	[7]	{1: 1000}	[1]						True
3011	火场废墟中，残留着尚未被烧毁的肖像画，不论从什么角度观看，画中人都似乎凝视着你。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	凝视画中人的双眼	[2, 1, 1]	{1: 1, 2: 1, 3: 3}	[-10, 33, 13]	{1: -5, 2: 37, 3: 17}	不再注视画面	[2, 1, 1]	{1: 1, 2: 1, 3: 4}	[0, 13, 33]	{2: 17, 3: 37}					
3012	当晚，本应残缺不全的肖像画再度出现在你的桌上，却已奇迹般第恢复原状。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	试图拆开画框查看	[7]	{1: 1000}	[1]		仔细观察肖像画的细节	[2, 1, 1]	{1: 1, 2: 3, 3: 4}	[-15, 33, 13]	{1: -10, 2: 37, 3: 17}					
3021	下水道的格栅不断发出震动，似乎是有什么看不见的“怪物”在试图挣脱。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	透过格栅仔细观察	[2, 1, 1]	{1: 1, 2: 1, 3: 2}	[-10, 33, 13]	{1: -5, 2: 37, 3: 17}	举枪对准下水道深处	[2, 1, 1]	{1: 1, 2: 1, 3: 3}	[0, 33, 13]	{2: 37, 3: 17}					
3022	下水道的格栅忽然轰然而破，带着腥味的污水不断涌出。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	试图收集污水样本进行研究	[2, 1, 1]	{1: 1, 2: 1, 3: 2}	[-15, 33, 13]	{1: -10, 2: 37, 3: 17}	用手帕捂住鼻子	[2, 1, 1]	{1: 1, 2: 1, 3: 3}	[0, 13, 33]	{2: 17, 3: 37}					
3023	越来越浓的雾气中，一团隐约的黑影渐渐成型。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	举起手枪戒备	[7]	{1: 1000}	[1]		仔细辨认黑影的样子	[2, 1, 1]	{1: 1, 2: 2, 3: 3}	[-15, 33, 13]	{1: -10, 2: 37, 3: 17}					
3031	钟表店里，所有时钟的指针，都停留在了十二点整。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	查看异常的钟表	[2, 1, 1]	{1: 1, 2: 1, 3: 4}	[-10, 13, 33]	{1: -5, 2: 17, 3: 37}	忽略不看	[2, 1, 1]	{1: 1, 2: 1, 3: 2}	[0, 33, 13]	{2: 37, 3: 17}					
3032	沉默的钟表匠忽然回过头来，空洞的眼眶里竟然镶嵌着一枚钟表的齿轮。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	正面对抗他的袭击	[7]	{1: 1000}	[1]		挣脱他的纠缠	[2, 1, 1]	{1: 1, 2: 2, 3: 3}	[-15, 33, 13]	{1: -10, 2: 37, 3: 17}					
3041	深夜，一只附满了藤壶的木箱，被海浪冲上了码头。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	试图撬开箱子	[2, 1, 1]	{1: 1, 2: 1, 3: 4}	[-10, 13, 33]	{1: -5, 2: 17, 3: 37}	压制自己想要打开箱子的好奇心	[2, 1, 1]	{1: 1, 2: 1, 3: 3}	[20, 33, 13]	{1: 40, 2: 37, 3: 17}					
3042	古怪的木箱里，只有一颗不断跳动的怪异的“卵”。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	盖上木箱	[2, 1, 1]	{1: 1, 2: 1, 3: 4}	[0, 13, 33]	{2: 17, 3: 37}	放火焚烧木箱	[2, 1, 1]	{1: 1, 2: 3, 3: 4}	[20, 13, 33]	{1: 40, 2: 17, 3: 37}					
3043	木箱中的“卵”忽然裂开，一只多足的怪物爬了出来。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	闪身避开	[2, 1, 1]	{1: 1, 2: 1, 3: 3}	[-15, 13, 33]	{1: -10, 2: 17, 3: 37}	对“怪物”开枪	[7]	{1: 1000}	[1]						
3051	无名死者留下的唯一遗物就是一本日记，上面的每一页都画着诡异的螺旋形状。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	合上日记本	[2, 1, 1]	{1: 1, 2: 2, 3: 3}	[0, 33, 13]	{2: 37, 3: 17}	仔细研究螺旋的细节	[2, 1, 1]	{1: 1, 2: 1, 3: 2}	[-10, 13, 33]	{1: -5, 2: 17, 3: 37}					
3052	在一处隐秘的地下室里，一群信徒正牵着彼此的手，吟诵着难懂的歌谣。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	试图加入	[2, 1, 1]	{1: 1, 2: 2, 3: 3}	[-15, 33, 13]	{1: -10, 2: 37, 3: 17}	出言阻止他们的行为	[7]	{1: 1000}	[1]						
3061	午夜时分，你登上了一辆列车，却发现所有乘客的面目都模糊不清。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	试图与乘客攀谈	[2, 1, 1]	{1: 1, 2: 2, 3: 3}	[-10, 33, 13]	{1: -5, 2: 37, 3: 17}	不去惊扰	[2, 1, 1]	{1: 1, 2: 1, 3: 2}	[0, 13, 33]	{2: 17, 3: 37}					
3062	列车忽然驶入一条之前从未见过的隧道，隧道的外面尽是污浊的血水。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	抓紧扶手	[2, 1, 1]	{1: 1, 2: 1, 3: 3}	[-10, 13, 33]	{1: -5, 2: 17, 3: 37}	关上车窗	[2, 1, 1]	{1: 1, 2: 2, 3: 3}	[0, 13, 33]	{2: 17, 3: 37}					
3063	一个古怪的身影用触手击碎车窗玻璃，试图将你拖入外面的迷雾深处。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	闪身避开	[2, 1, 1]	{1: 1, 2: 1, 3: 3}	[-15, 13, 33]	{1: -10, 2: 17, 3: 37}	开枪射击	[7]	{1: 1000}	[1]						
3071	双目失明的占卜师提出要为你算命，邀请你抽出一张纸牌。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	放下硬币作为报酬	[2, 1, 1]	{1: 1, 2: 2, 3: 4}	[20, 13, 33]	{1: 40, 2: 17, 3: 37}	抽取纸牌	[2, 1, 1]	{1: 1, 2: 1, 3: 4}	[0, 33, 13]	{2: 37, 3: 17}					
3072	占卜师向你展示一张纸牌，上面的图案是一处深渊，其中伸出众多苍白的怪手。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	向其询问深渊的消息	[2, 1, 1]	{1: 1, 2: 1, 3: 2}	[-15, 33, 13]	{1: -10, 2: 37, 3: 17}	放下纸牌	[2, 1, 1]	{1: 1, 2: 2, 3: 4}	[-10, 33, 13]	{1: -5, 2: 37, 3: 17}					
3081	深夜里，玩偶店的店主推着装满陶瓷人偶的小车，静静地消失在街角的黑暗中。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	远远观望	[2, 1, 1]	{1: 1, 2: 2, 3: 4}	[0, 33, 13]	{2: 37, 3: 17}	上前询问	[2, 1, 1]	{1: 1, 2: 3, 3: 4}	[-10, 33, 13]	{1: -5, 2: 37, 3: 17}					
3082	你走入空无一人的地下室，看到地面上散落着许多惨白的牙齿。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	捡起牙齿观察	[2, 1, 1]	{1: 1, 2: 3, 3: 4}	[-10, 13, 33]	{1: -5, 2: 17, 3: 37}	关上地下室的门	[2, 1, 1]	{1: 1, 2: 2, 3: 3}	[0, 13, 33]	{2: 17, 3: 37}					
3083	地下室的角落中窜出一只古怪的动物，张开巨口对你喷射恶臭的黏液。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	举枪射击	[7]	{1: 1}	[1]		闪身躲避	[2, 1, 1]	{1: 1, 2: 2, 3: 3}	[-15, 33, 13]	{1: -10, 2: 37, 3: 17}					
3091	placeholder_盗墓贼在黑市神秘兮兮地向你兜售一批古怪金币，金币上散发着尸臭。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	placeholder_拒绝交易	[2]	{1: 1}	[20]	{1: 40}	placeholder_没收金币	[2, 3, 1]	{1: 1, 3: 3}	[-15, 5, 5]	{1: -10, 2: 10, 3: 10}					True
3092	一只装满金币的口袋无人问津，却有众多老鼠上前蠢蠢欲动。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	捡起口袋	[2, 1, 1]	{1: 1, 2: 1, 3: 4}	[-15, 13, 33]	{1: -10, 2: 17, 3: 37}	驱赶老鼠	[2, 1, 1]	{1: 1, 2: 1, 3: 3}	[20, 13, 33]	{1: 40, 2: 17, 3: 37}					
3101	歌剧院里正在上演一出无名的歌剧，但观众席上空无一人。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	坐下认真聆听	[2, 1, 1]	{1: 1, 2: 1, 3: 2}	[-10, 33, 13]	{1: -5, 2: 37, 3: 17}	捂住耳朵不听	[2, 1, 1]	{1: 1, 2: 1, 3: 3}	[20, 13, 33]	{1: 40, 2: 17, 3: 37}					
3102	在演出最精彩的时候，舞台上的歌者忽然发出了尖锐的鸣叫声。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	仔细分辨歌者声音里的信息	[2, 1, 1]	{1: 1, 2: 1, 3: 2}	[-15, 13, 33]	{1: -10, 2: 17, 3: 37}	静静忍受	[2, 1, 1]	{1: 1, 2: 1, 3: 3}	[-10, 13, 33]	{1: -5, 2: 17, 3: 37}					
3103	舞台上的舞者撕碎华服，变身为一只面目狰狞的怪物，冲向台下的观众席。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	1	极力躲避	[2, 1, 1]	{1: 1, 2: 1, 3: 3}	[-10, 13, 33]	{1: -5, 2: 17, 3: 37}	开枪射击	[7]	{1: 1}	[1]						
1001	即便有夜色的掩护，你们一行“异种”在城内的行动依旧危险重重。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					10	1			True
1002	此时，远方的街角，隐隐传来了马车的声音。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					10	2			True
1003	马车夫的面容隐没在车篷的阴影下，只是无声地对你做了一个“上车”的手势。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	摇头拒绝	[4]	{1: 10001}	[1]		登上马车	[4]	{1: 10002}	[1]		10	3			True
1004	你没有接受这来路不明的邀约，而是裹紧外套，又走入了雾中。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					11	1	[10001]		True
1005	脚步声回荡在街头，在黑暗中，你很难分辨方向，似乎觉得自己一直在重复着相同的路。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					11	2			True
1006	在长街的另一个方向，你又一次看到了那辆同样的马车。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	保持沉默	[4]	{1: 10003}	[1]		出言询问	[4]	{1: 10003}	[1]		11	3			True
1007	你没有拒绝这适时的“善意”，登上马车，刻意让自己的身形掩藏在车厢的最深处。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					12	1	[10002]		True
1008	车夫挥动马鞭，驱动马车在街道上行驶起来。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					12	2			True
1009	坐在狭小的马车车厢内，你的潜意识里，渐渐升起某种隐隐的不安。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	或许只是自己的错觉	[4]	{1: 10004}	[1]		掀起车帘查看外面	[4]	{1: 10004}	[1]		12	3			True
1010	那位马车夫依旧保持着原来的姿势，仿佛一个不断执行同样指令的机械人偶。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					13	1	[10003]		True
1011	他没有回答，但你敏锐地感知到，他身上隐约传出某种冰凉的腥味。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					13	2			True
1012	借着微弱的月光，你发现他的头颅古怪地扭动了一下，紧接着，又是更大幅度的震动。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	躲入黑暗之中					握紧手枪对准他					13	3			True
1013	马车虽然“行驶”了很久，却又回到了原地，而车夫依旧保持着手握缰绳的姿势。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					14	1	[10004]		True
1014	他保持着这个姿势不动，似乎在和你做着无言的对峙。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					14	2			True
1015	终于，他的头颅却古怪地转了过来，面容正对着你，那张面容上，还挂着古怪的微笑。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	本能躲避					直面异像					14	3			True
1016	马车夫身上传来的腥味不断传入鼻端，夹杂着血肉的腥臭和污水的冰凉气味。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					15	1			True
1017	他头颅以一个不可思议的角度歪向一边，但灰白的面部肌肉依旧保持着原来的微笑。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					15	2			True
1018	无数的触手从他的颈项中伸出，在触手的末端，悬挂着他摇摇欲坠的，带着笑容的头颅。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	不再纠缠，迅速离去					举枪对准那个身影					15	3			True
1020	更为浓重的雾气，再一次弥漫在你的眼前，四周一片寂静。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					16	1			True
1021	那辆马车依旧停在不远处，但车厢里空空如也，没有马车夫的身影。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					16	2			True
1022	车厢内，唯有一张沾满污渍的纸条，上面写着几个歪歪扭扭的血字“市政厅”。	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	捡起纸条					记下上面的字，撕毁纸条					16	3			True
1100	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					20	1			True
1101	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	置之不理					回头张望					20	2			True
1102	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					20	3			True
1103	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	依旧保持沉默	[4]	{1: 10001}	[1]		出言回应	[4]	{1: 10002}	[1]		20	4			True
1104	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					21	1	[10001]		True
1105	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					21	2			True
1106	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					21	3			True
1107	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	举起煤气灯照亮阴影					小心伸手触碰					21	4			True
1108	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					22	1	[10002]		True
1109	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					22	2			True
1110	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					22	3			True
1111	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	向怪影开枪					躲入街角阴影处暂避					22	4			True
1112	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					23	1			True
1113	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					23	2			True
1114	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	转身离去，拒绝幻象的诱惑					掘开坟墓，仔细查验					23	3			True
1120	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					24	1			True
1121	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					24	2			True
1122	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	奋力挣脱触手					在眩晕中渐渐被触手控制					24	3			True
1130	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	回以注视					不做回应					25	1			True
1131	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	走近查看					置之不理					25	2			True
1200	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					26	1			True
1201	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续前行	[4]	{1: 10001}	[1]		小心辨认脚下的路	[4]	{1: 10002}	[1]		26	2			True
1202	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					27	1	[10001]		True
1203	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					27	2			True
1204	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					27	3			True
1205	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	拿出提灯					让眼睛适应黑暗					27	4			True
1206	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					28	1	[10002]		True
1207	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					28	2			True
1208	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					28	3			True
1209	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	拿出提灯					让眼睛适应黑暗					28	4			True
1210	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					29	1			True
1211	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	静静看着它们	[4]	{1: 10001}	[1]		并不在意	[4]	{1: 10002}	[1]		29	2			True
1212	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					30	1	[10001]		True
1213	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					30	2			True
1214	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	驱散它们					上前仔细查验					30	3			True
1215	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					31	1	[10002]		True
1216	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					31	2			True
1217	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	直接上前查看					在稍远处静静观察					31	3			True
1218	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					32	1			True
1219	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					32	2			True
1220	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	保持一定距离观察					试图撬门					32	3			True
1230	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					33	1			True
1231	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					33	2			True
1232	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	直接破坏门锁					寻找另外能通行的路					33	3			True
1300	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					34	1			True
1301	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					34	2			True
1302	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	捂住耳朵不听					静心仔细聆听					34	3			True
1303	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					34	4			True
1304	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					34	5			True
1305	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	沉默转身离去					动手打碎雕像					34	6			True
1310	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					35	1			True
1311	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					35	2			True
1312	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	试图唤醒他们					试图混入他们的队伍中					35	3			True
1320	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					36	1			True
1321	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	在原地继续谨慎观察					向煤气灯的方向走去					36	2			True
1322	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					36	3			True
1323	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					36	4			True
1324	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					36	5			True
1325	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	快步向前	[4]	{1: 10001}	[1]		绕路靠近	[4]	{1: 10002}	[1]		36	6			True
1326	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					37	1	[10001]		True
1327	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					37	2			True
1328	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					37	3			True
1329	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	躲避黑雾					仔细查验手上的黑雾					37	4			True
1330	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					38	1	[10002]		True
1331	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					38	2			True
1332	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					38	3			True
1333	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	对那个身影发起攻击					开口直接试图与对方交谈					38	4			True
1340	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					39	1			True
1341	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					39	2			True
1342	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	闭上眼，试图让幻觉消散					出言否认对方的真实					39	3			True
1400	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					40	1			True
1401	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					40	2			True
1402	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	刻意忽略诡异的指针					查看落地钟的零件是否故障					40	3			True
1403	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					40	4			True
1404	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					40	5			True
1405	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	起身离开宴会厅					在邀请函上再次签名					40	6			True
1410	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					41	1			True
1411	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					41	2			True
1412	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	刻意忽略诡异的歌声					无意识地跟上他们吟诵的节奏					41	3			True
1413	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					41	4			True
1414	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					41	5			True
1415	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	藏身进街角的黑暗中					斥责他在装神弄鬼					41	6			True
1500	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					42	1			True
1501	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					42	2			True
1502	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	伸手触碰“血泪”	[4]	{1: 10001}	[1]		刻意保持距离	[4]	{1: 10002}	[1]		42	3			True
1503	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					43	1			True
1504	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					43	2			True
1505	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					43	3			True
1506	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	拒绝酒杯					接过酒杯					43	4			True
1507	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					44	1			True
1508	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					44	2			True
1509	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					44	3			True
1510	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	拒绝酒杯					接过酒杯					44	4			True
1511	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					45	1			True
1512	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					45	2			True
1513	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	砸碎酒杯					拿走酒杯					45	3			True
1520	不明	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitheror03.png	5	继续					继续					46	1			True
